neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
21,0,3,5,0,59
6,1,1,9,7,139
129,0,1,8,320,34
5,1,2,327,133,228
193,1,2,6,144,110
7,2,1,9,364,69
41,0,4,6,178,29
37,0,5,12,141,60
114,2,1,7,319,28
24,2,2,6,365,25
1,0,1,11,176,330
1,0,1,11,179,375
1,0,1,13,312,100
71,0,1,7,300,100
43,1,2,327,346,230
71,0,1,13,351,100
19,0,1,7,365,250
12,0,2,8,77,60
1,0,3,12,365,1599
6,2,3,34,365,38
39,1,1,8,267,260
45,1,14,12,86,266
1,1,3,49,164,699
6,1,1,5,55,90
102,0,1,5,0,98
29,0,1,13,309,40
56,1,6,11,299,60
71,0,1,15,292,100
43,1,2,327,260,244
1,1,3,49,204,699
30,0,7,6,310,39
1,0,1,14,343,475
1,0,1,11,364,399
29,0,1,13,286,50
1,0,1,8,319,100
6,1,3,5,110,130
39,2,3,12,345,30
6,1,1,14,53,500
8,0,1,6,326,49
67,0,5,12,0,35
6,2,1,34,365,36
71,0,1,13,358,100
2,0,1,5,209,164
56,0,1,9,323,48
85,0,1,5,359,59
43,1,2,327,341,235
14,0,1,20,352,199
46,0,1,6,153,80
114,2,1,8,60,28
110,0,4,7,337,30
6,2,1,17,89,35
21,0,6,7,187,63
6,0,2,7,349,60
111,0,1,8,0,40
1,1,4,8,0,299
43,1,2,327,291,185
21,0,1,26,250,45
7,0,1,5,351,99
18,0,3,8,252,90
11,1,3,5,255,250
6,2,1,17,49,35
7,1,2,5,0,299
22,1,3,5,86,85
54,0,7,9,365,80
7,2,1,9,175,85
27,1,1,8,70,89
79,1,1,5,113,460
27,0,1,7,276,100
15,0,2,5,268,48
25,0,1,6,360,71
7,2,1,8,205,69
7,0,7,47,362,99
7,0,1,30,354,199
20,1,3,28,60,199
20,2,2,5,299,40
7,2,1,6,365,75
21,0,3,10,322,45
7,0,1,30,140,129
70,0,3,13,365,65
103,0,1,5,168,55
20,1,3,28,60,199
6,1,1,9,238,139
63,0,4,5,133,65
111,0,1,7,152,60
94,0,2,6,365,60
6,1,1,14,38,211
101,0,1,7,359,100
21,1,2,5,342,250
15,0,2,5,0,60
71,0,1,9,317,100
14,0,1,20,359,149
57,0,1,7,360,70
1,1,3,49,216,737
1,0,2,13,329,198
35,0,4,5,365,129
111,0,1,10,298,55
94,0,1,18,355,165
14,0,1,20,359,149
49,0,1,8,342,59
4,0,1,10,357,45
21,0,2,5,343,40
6,2,1,17,89,28
30,0,1,5,336,196
20,1,3,28,36,199
42,0,2,5,1,42
149,0,1,5,38,50
25,0,1,5,358,89
121,0,1,6,256,35
43,1,2,327,328,396
20,0,1,33,180,119
4,2,2,9,10,65
83,0,2,5,126,37
20,1,3,28,62,199
7,0,1,11,271,165
85,0,5,5,365,55
4,0,5,6,15,50
43,1,2,327,318,196
70,0,7,13,301,38
58,0,2,13,365,75
6,1,1,9,7,139
67,2,7,6,365,25
7,2,1,5,365,75
1,1,3,49,176,699
7,2,1,7,225,80
54,0,7,9,120,42
43,1,1,8,314,309
37,0,2,10,360,48
21,0,4,6,29,37
13,1,5,5,206,135
71,0,1,15,359,100
1,1,1,17,182,137
87,0,1,10,134,65
71,0,1,9,309,100
7,0,1,12,187,110
43,1,2,327,333,214
71,0,1,13,362,100
20,0,1,33,365,119
43,1,2,327,323,432
21,1,2,5,342,325
21,2,4,5,49,25
37,0,1,5,75,45
1,0,2,6,305,75
56,0,1,9,351,59
34,0,1,17,337,139
39,0,2,6,347,65
162,2,2,6,356,40
103,0,1,5,175,45
1,1,2,13,246,198
43,1,1,6,253,425
63,1,3,6,188,238
103,0,1,5,159,45
12,0,2,8,83,60
28,0,3,5,156,71
43,1,2,327,268,390
43,1,2,327,268,214
4,0,3,6,88,80
22,0,2,6,68,55
16,0,1,6,364,80
84,2,2,6,120,19
87,0,1,10,95,55
49,0,14,8,317,50
43,1,2,327,330,404
37,0,1,7,285,32
6,1,4,34,309,265
12,0,3,5,0,80
20,1,3,13,74,350
21,0,1,5,333,50
37,0,1,5,90,64
6,0,1,10,158,65
13,0,8,5,0,65
200,0,3,7,177,38
106,0,1,5,361,149
7,0,1,7,198,120
45,0,3,6,129,110
48,1,1,33,179,179
4,0,3,6,90,85
12,0,1,5,0,1600
103,0,1,7,0,59
21,0,1,5,329,50
129,0,4,6,150,55
71,0,1,15,359,100
7,0,1,30,364,179
7,0,1,11,248,155
14,0,1,12,352,85
1,0,2,13,333,198
6,1,1,10,158,108
94,0,1,6,0,70
6,0,1,7,41,69
14,0,1,20,365,199
94,0,1,18,319,135
6,0,1,7,278,47
4,2,2,9,120,60
15,1,2,7,267,1500
55,0,2,6,0,37
43,1,2,327,279,398
21,0,2,26,318,36
37,0,1,5,90,62
27,0,1,7,328,100
14,0,1,6,364,3210
21,1,2,5,347,125
14,0,1,20,189,199
14,0,1,20,356,219
4,0,2,5,76,130
56,0,1,5,119,65
6,0,5,6,322,72
21,0,2,10,360,75
101,0,1,7,339,100
6,0,1,6,256,90
31,1,2,5,337,98
43,1,2,327,331,214
37,0,1,5,0,60
147,0,1,10,0,39
73,2,1,5,354,37
7,0,7,47,365,120
56,1,1,5,297,169
43,1,2,327,286,392
73,0,1,8,348,65
43,1,2,327,338,416
1,0,3,12,365,799
20,0,1,33,365,99
79,0,1,5,0,29
8,1,5,12,153,285
96,1,4,5,299,190
17,0,1,7,248,42
2,0,2,5,0,100
7,0,1,8,88,209
28,0,2,6,343,990
1,0,3,12,365,649
1,0,1,5,268,100
6,0,1,6,164,55
147,1,2,5,51,300
103,0,1,7,96,79
193,1,3,6,150,110
39,2,3,12,327,30
14,0,1,12,342,85
43,1,2,327,253,475
1,0,3,12,365,599
8,1,1,5,188,374
43,1,2,327,258,244
37,0,1,6,204,75
6,0,2,5,324,60
152,0,1,6,365,70
101,0,1,7,348,100
178,0,2,5,0,37
82,0,1,5,186,35
6,0,15,11,189,50
23,2,14,28,341,32
7,2,1,7,362,77
79,0,1,5,141,26
1,0,1,5,287,100
71,0,1,7,0,100
1,1,3,12,0,339
21,0,1,7,69,45
54,0,3,5,341,46
39,0,1,8,282,89
25,1,3,7,23,150
30,0,3,5,18,95
18,0,3,8,237,90
15,1,3,5,280,245
2,0,1,6,31,99
54,0,1,5,0,48
178,0,2,5,189,42
1,0,1,8,309,100
6,0,2,7,294,49
14,0,1,20,360,159
73,2,2,8,28,30
111,0,2,10,365,45
43,1,2,327,347,236
6,0,2,34,306,49
21,0,12,7,130,63
70,2,1,6,180,159
83,0,2,5,125,51
6,0,1,10,306,63
192,0,1,5,247,150
25,0,1,9,279,58
24,0,1,10,302,84
157,0,5,5,22,50
28,0,2,6,351,420
15,0,5,5,148,70
6,0,1,5,289,75
30,1,1,5,334,140
21,0,2,5,348,65
25,0,1,5,359,89
129,0,1,8,341,35
2,0,2,11,365,69
54,0,5,5,69,45
6,0,2,8,250,49
43,1,2,327,350,229
43,0,7,13,358,169
39,2,3,12,361,30
12,0,2,8,84,60
124,0,1,5,0,59
30,0,5,6,244,45
7,2,1,5,52,80
28,1,3,9,92,185
71,1,1,7,126,650
39,2,3,12,360,30
102,0,1,5,0,95
71,0,1,9,298,249
39,0,2,6,341,65
129,1,5,6,319,99
82,0,1,5,204,65
6,0,2,7,150,77
1,1,2,13,358,200
46,0,1,6,85,70
30,0,5,6,272,47
2,0,7,6,11,50
43,1,2,327,356,227
71,0,1,9,283,249
18,0,5,9,323,180
37,0,1,8,84,50
37,1,6,7,343,150
13,2,2,5,32,25
70,0,7,13,198,40
20,0,1,33,180,199
24,0,1,10,293,85
79,0,2,5,222,57
129,0,3,9,358,39
44,0,6,11,65,49
21,0,2,5,0,45
7,2,1,6,365,75
27,1,2,9,361,450
54,0,7,9,106,40
111,2,5,8,365,30
70,0,7,13,282,38
6,0,1,6,170,45
6,0,2,7,58,57
1,0,2,11,207,233
29,1,1,12,0,1494
24,0,1,7,53,55
